chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL105477,5,6,0.8333333333333334,5,1
CHEMBL105489,0,4,0.0,1,4
CHEMBL105516,0,1,0.0,1,1
CHEMBL105521,1,1,1.0,1,0
CHEMBL105576,0,1,0.0,1,1
CHEMBL105612,1,1,1.0,1,0
CHEMBL105613,0,2,0.0,1,2
CHEMBL105620,4,4,1.0,3,0
CHEMBL105642,1,1,1.0,1,0
CHEMBL105678,2,2,1.0,1,0
CHEMBL105712,0,1,0.0,1,1
CHEMBL105740,2,2,1.0,1,0
CHEMBL105802,0,1,0.0,1,1
CHEMBL105875,0,1,0.0,1,1
CHEMBL105935,0,1,0.0,1,1
CHEMBL106035,0,1,0.0,1,1
CHEMBL106060,2,2,1.0,2,0
CHEMBL106061,5,5,1.0,4,0
CHEMBL106071,1,1,1.0,1,0
CHEMBL106072,0,1,0.0,1,1
CHEMBL106079,0,1,0.0,1,1
CHEMBL106095,1,1,1.0,1,0
CHEMBL106112,2,8,0.25,3,6
CHEMBL106115,1,1,1.0,1,0
CHEMBL106118,0,1,0.0,1,1
CHEMBL106120,0,1,0.0,1,1
CHEMBL1062,0,1,0.0,1,1
CHEMBL106213,1,1,1.0,1,0
CHEMBL106220,0,4,0.0,1,4
CHEMBL106226,2,2,1.0,2,0
CHEMBL106232,1,1,1.0,1,0
CHEMBL106295,1,1,1.0,1,0
CHEMBL106304,1,1,1.0,1,0
CHEMBL106328,1,1,1.0,1,0
CHEMBL106378,1,1,1.0,1,0
CHEMBL106379,0,1,0.0,1,1
CHEMBL106384,7,8,0.875,6,1
CHEMBL106386,2,2,1.0,1,0
CHEMBL106395,0,1,0.0,1,1
CHEMBL106412,0,1,0.0,1,1
CHEMBL106439,2,5,0.4,2,3
CHEMBL106442,1,1,1.0,1,0
CHEMBL106457,1,1,1.0,1,0
CHEMBL106482,1,1,1.0,1,0
CHEMBL106489,1,1,1.0,1,0
CHEMBL106543,1,1,1.0,1,0
CHEMBL106571,1,1,1.0,1,0
CHEMBL106616,0,4,0.0,1,4
CHEMBL106654,1,1,1.0,1,0
CHEMBL106664,0,1,0.0,1,1
CHEMBL106669,0,8,0.0,1,8
CHEMBL106772,8,8,1.0,3,0
CHEMBL106822,1,1,1.0,1,0
CHEMBL106839,1,1,1.0,1,0
CHEMBL106840,0,1,0.0,1,1
CHEMBL106869,0,1,0.0,1,1
CHEMBL106944,1,1,1.0,1,0
CHEMBL106953,1,1,1.0,1,0
CHEMBL106961,1,1,1.0,1,0
CHEMBL106966,0,25,0.0,10,25
CHEMBL106992,1,1,1.0,1,0
CHEMBL107,0,1,0.0,1,1
CHEMBL107048,1,1,1.0,1,0
CHEMBL107061,1,1,1.0,1,0
CHEMBL107071,1,1,1.0,1,0
CHEMBL107140,0,1,0.0,1,1
CHEMBL107161,1,1,1.0,1,0
CHEMBL107166,1,1,1.0,1,0
CHEMBL107177,0,1,0.0,1,1
CHEMBL107183,1,1,1.0,1,0
CHEMBL107203,0,1,0.0,1,1
CHEMBL107210,0,1,0.0,1,1
CHEMBL107225,2,2,1.0,2,0
CHEMBL107247,0,1,0.0,1,1
CHEMBL107256,0,1,0.0,1,1
CHEMBL107273,0,1,0.0,1,1
CHEMBL107277,1,1,1.0,1,0
CHEMBL107372,0,1,0.0,1,1
CHEMBL107392,0,1,0.0,1,1
CHEMBL107418,0,1,0.0,1,1
CHEMBL107423,1,1,1.0,1,0
CHEMBL107458,1,1,1.0,1,0
CHEMBL107472,1,1,1.0,1,0
CHEMBL107530,2,2,1.0,2,0
CHEMBL1075628,6,6,1.0,4,0
CHEMBL107592,0,1,0.0,1,1
CHEMBL107599,1,1,1.0,1,0
CHEMBL107602,1,1,1.0,1,0
CHEMBL1076139,0,6,0.0,3,6
CHEMBL107614,1,1,1.0,1,0
CHEMBL1076156,0,6,0.0,3,6
CHEMBL1076164,0,6,0.0,3,6
CHEMBL1076193,5,5,1.0,4,0
CHEMBL1076194,2,5,0.4,4,3
CHEMBL1076195,2,5,0.4,4,3
CHEMBL1076196,2,5,0.4,4,3
CHEMBL1076197,2,5,0.4,4,3
CHEMBL1076198,6,6,1.0,4,0
CHEMBL1076199,6,6,1.0,4,0
CHEMBL1076200,6,6,1.0,4,0
CHEMBL1076201,6,6,1.0,4,0
CHEMBL1076202,2,5,0.4,4,3
CHEMBL1076203,5,5,1.0,4,0
CHEMBL1076204,1,1,1.0,1,0
CHEMBL1076206,1,1,1.0,1,0
CHEMBL1076221,2,2,1.0,2,0
CHEMBL1076233,1,1,1.0,1,0
CHEMBL1076257,0,1,0.0,1,1
CHEMBL107627,0,2,0.0,1,2
CHEMBL1076272,1,1,1.0,1,0
CHEMBL1076274,1,1,1.0,1,0
CHEMBL1076298,1,2,0.5,1,1
CHEMBL1076330,0,2,0.0,1,2
CHEMBL1076432,6,6,1.0,4,0
CHEMBL1076433,6,6,1.0,4,0
CHEMBL1076436,6,6,1.0,4,0
CHEMBL1076437,6,6,1.0,4,0
CHEMBL1076439,1,1,1.0,1,0
CHEMBL1076440,1,1,1.0,1,0
CHEMBL1076441,1,1,1.0,1,0
CHEMBL1076465,2,5,0.4,4,3
CHEMBL1076466,4,5,0.8,4,1
CHEMBL1076468,5,6,0.8333333333333334,4,1
CHEMBL1076469,5,6,0.8333333333333334,4,1
CHEMBL1076470,6,6,1.0,4,0
CHEMBL1076471,6,6,1.0,4,0
CHEMBL1076472,5,6,0.8333333333333334,4,1
CHEMBL1076473,5,6,0.8333333333333334,4,1
CHEMBL1076474,2,6,0.3333333333333333,4,4
CHEMBL1076475,5,6,0.8333333333333334,4,1
CHEMBL1076476,0,6,0.0,4,6
CHEMBL1076477,6,6,1.0,4,0
CHEMBL1076478,6,6,1.0,4,0
CHEMBL1076480,5,6,0.8333333333333334,4,1
CHEMBL1076482,1,1,1.0,1,0
CHEMBL1076497,1,1,1.0,1,0
CHEMBL107653,2,2,1.0,1,0
CHEMBL1076533,0,5,0.0,4,5
CHEMBL1076541,1,1,1.0,1,0
CHEMBL1076552,1,1,1.0,1,0
CHEMBL1076553,1,1,1.0,1,0
CHEMBL1076555,3,15,0.2,6,12
CHEMBL1076560,1,1,1.0,1,0
CHEMBL1076565,1,1,1.0,1,0
CHEMBL1076581,2,2,1.0,2,0
CHEMBL1076619,1,1,1.0,1,0
CHEMBL1076682,1,1,1.0,1,0
CHEMBL1076695,1,1,1.0,1,0
CHEMBL1076700,4,4,1.0,4,0
CHEMBL1076701,1,1,1.0,1,0
CHEMBL1076721,4,11,0.36363636363636365,11,7
CHEMBL1076741,1,1,1.0,1,0
CHEMBL1076755,1,1,1.0,1,0
CHEMBL107676,1,1,1.0,1,0
CHEMBL1076864,2,2,1.0,2,0
CHEMBL1077023,1,4,0.25,4,3
CHEMBL1077068,0,3,0.0,1,3
CHEMBL1077069,0,3,0.0,1,3
CHEMBL1077070,3,3,1.0,1,0
CHEMBL1077085,3,3,1.0,1,0
CHEMBL1077086,0,3,0.0,1,3
CHEMBL1077095,0,3,0.0,1,3
CHEMBL1077107,3,3,1.0,1,0
CHEMBL1077116,0,2,0.0,2,2
CHEMBL1077118,0,1,0.0,1,1
CHEMBL1077129,1,2,0.5,2,1
CHEMBL1077132,0,2,0.0,2,2
CHEMBL1077137,0,2,0.0,2,2
CHEMBL1077213,1,1,1.0,1,0
CHEMBL1077218,2,2,1.0,1,0
CHEMBL1077233,1,1,1.0,1,0
CHEMBL1077243,1,1,1.0,1,0
CHEMBL1077244,0,1,0.0,1,1
CHEMBL1077258,0,1,0.0,1,1
CHEMBL1077260,0,1,0.0,1,1
CHEMBL1077270,0,1,0.0,1,1
CHEMBL1077282,0,1,0.0,1,1
CHEMBL1077286,0,1,0.0,1,1
CHEMBL1077291,2,3,0.6666666666666666,3,1
CHEMBL1077317,2,2,1.0,1,0
CHEMBL1077347,1,2,0.5,2,1
CHEMBL1077369,4,4,1.0,3,0
CHEMBL1077370,3,3,1.0,3,0
CHEMBL1077371,2,3,0.6666666666666666,3,1
CHEMBL1077372,1,3,0.3333333333333333,3,2
CHEMBL1077375,3,3,1.0,3,0
CHEMBL1077376,2,2,1.0,2,0
CHEMBL1077396,0,1,0.0,1,1
CHEMBL1077406,0,1,0.0,1,1
CHEMBL1077414,1,1,1.0,1,0
CHEMBL107743,0,1,0.0,1,1
CHEMBL1077431,1,1,1.0,1,0
CHEMBL1077458,5,5,1.0,2,0
CHEMBL1077575,3,6,0.5,4,3
CHEMBL1077597,1,1,1.0,1,0
CHEMBL1077598,0,1,0.0,1,1
CHEMBL1077599,1,3,0.3333333333333333,3,2
CHEMBL1077600,0,1,0.0,1,1
CHEMBL1077670,2,4,0.5,4,2
CHEMBL1077729,2,2,1.0,2,0
CHEMBL1077841,2,2,1.0,2,0
CHEMBL1077842,2,2,1.0,2,0
CHEMBL1077955,1,1,1.0,1,0
CHEMBL1077979,14,17,0.8235294117647058,7,3
CHEMBL1078005,2,2,1.0,2,0
CHEMBL1078021,1,1,1.0,1,0
CHEMBL1078022,0,1,0.0,1,1
CHEMBL1078023,0,1,0.0,1,1
CHEMBL1078024,1,1,1.0,1,0
CHEMBL1078027,1,1,1.0,1,0
CHEMBL1078060,2,2,1.0,2,0
CHEMBL1078061,2,2,1.0,2,0
CHEMBL1078101,1,1,1.0,1,0
CHEMBL1078155,0,3,0.0,3,3
CHEMBL1078159,1,2,0.5,2,1
CHEMBL1078165,2,2,1.0,2,0
CHEMBL1078166,5,6,0.8333333333333334,4,1
CHEMBL1078178,38,193,0.19689119170984457,182,155
CHEMBL1078219,0,1,0.0,1,1
CHEMBL1078220,0,1,0.0,1,1
CHEMBL1078228,2,2,1.0,2,0
CHEMBL1078229,1,2,0.5,2,1
CHEMBL1078245,1,4,0.25,4,3
CHEMBL107826,1,1,1.0,1,0
CHEMBL1078274,2,2,1.0,2,0
CHEMBL1078275,2,2,1.0,2,0
CHEMBL1078276,2,2,1.0,2,0
CHEMBL1078277,2,2,1.0,2,0
CHEMBL1078301,1,1,1.0,1,0
CHEMBL1078302,0,1,0.0,1,1
CHEMBL1078303,0,1,0.0,1,1
CHEMBL1078327,0,1,0.0,1,1
CHEMBL1078363,2,2,1.0,2,0
CHEMBL1078364,2,2,1.0,2,0
CHEMBL1078370,1,2,0.5,2,1
CHEMBL1078404,0,1,0.0,1,1
CHEMBL1078426,3,4,0.75,4,1
CHEMBL1078427,2,4,0.5,4,2
CHEMBL1078453,1,2,0.5,2,1
CHEMBL107850,1,1,1.0,1,0
CHEMBL1078537,1,4,0.25,4,3
CHEMBL1078538,2,4,0.5,4,2
CHEMBL1078539,1,4,0.25,4,3
CHEMBL1078583,0,1,0.0,1,1
CHEMBL1078584,0,1,0.0,1,1
CHEMBL1078585,1,1,1.0,1,0
CHEMBL1078594,1,1,1.0,1,0
CHEMBL1078665,1,1,1.0,1,0
CHEMBL1078666,1,1,1.0,1,0
CHEMBL1078667,1,1,1.0,1,0
CHEMBL1078678,1,1,1.0,1,0
CHEMBL1078688,2,2,1.0,2,0
CHEMBL1078689,2,2,1.0,2,0
CHEMBL107871,0,1,0.0,1,1
CHEMBL1078717,1,4,0.25,4,3
CHEMBL107872,0,1,0.0,1,1
CHEMBL1078720,2,2,1.0,2,0
CHEMBL1078721,1,2,0.5,2,1
CHEMBL1078767,1,2,0.5,2,1
CHEMBL1078785,0,2,0.0,2,2
CHEMBL1078804,1,1,1.0,1,0
CHEMBL1078820,3,4,0.75,4,1
