chembl_id,n_active,n_total,activity_rate,n_kinases,n_inactive
CHEMBL14830,0,1,0.0,1,1
CHEMBL148333,0,3,0.0,3,3
CHEMBL150,2,2,1.0,1,0
CHEMBL150370,1,1,1.0,1,0
CHEMBL150478,1,1,1.0,1,0
CHEMBL150894,0,3,0.0,1,3
CHEMBL1509707,0,1,0.0,1,1
CHEMBL150978,1,1,1.0,1,0
CHEMBL151,2,2,1.0,1,0
CHEMBL151079,1,1,1.0,1,0
CHEMBL151214,1,1,1.0,1,0
CHEMBL151448,1,1,1.0,1,0
CHEMBL151553,1,1,1.0,1,0
CHEMBL151812,1,1,1.0,1,0
CHEMBL152256,2,2,1.0,1,0
CHEMBL152257,0,2,0.0,1,2
CHEMBL152338,2,2,1.0,1,0
CHEMBL152475,0,2,0.0,1,2
CHEMBL152575,0,2,0.0,1,2
CHEMBL152838,0,2,0.0,1,2
CHEMBL153171,0,1,0.0,1,1
CHEMBL153548,0,17,0.0,4,17
CHEMBL153866,2,2,1.0,1,0
CHEMBL1540,0,2,0.0,1,2
CHEMBL154209,1,2,0.5,1,1
CHEMBL154245,9,9,1.0,2,0
CHEMBL1545915,4,4,1.0,4,0
CHEMBL1551662,0,1,0.0,1,1
CHEMBL155333,0,17,0.0,4,17
CHEMBL155929,9,9,1.0,2,0
CHEMBL156172,8,9,0.8888888888888888,2,1
CHEMBL156433,9,9,1.0,2,0
CHEMBL156488,0,1,0.0,1,1
CHEMBL1567396,0,1,0.0,1,1
CHEMBL157220,0,2,0.0,1,2
CHEMBL157402,0,1,0.0,1,1
CHEMBL157528,8,8,1.0,1,0
CHEMBL1576159,0,1,0.0,1,1
CHEMBL157822,8,9,0.8888888888888888,2,1
CHEMBL157892,9,9,1.0,2,0
CHEMBL157967,8,8,1.0,1,0
CHEMBL158936,2,2,1.0,1,0
CHEMBL1594640,4,4,1.0,4,0
CHEMBL15985,0,4,0.0,1,4
CHEMBL159932,4,4,1.0,1,0
CHEMBL160,1,1,1.0,1,0
CHEMBL16026,0,4,0.0,1,4
CHEMBL161197,4,4,1.0,1,0
CHEMBL1613587,0,1,0.0,1,1
CHEMBL1614701,0,2,0.0,2,2
CHEMBL1615697,4,4,1.0,4,0
CHEMBL1616787,4,4,1.0,4,0
CHEMBL1619026,4,4,1.0,4,0
CHEMBL1619061,0,1,0.0,1,1
CHEMBL16193,0,4,0.0,1,4
CHEMBL1621065,0,1,0.0,1,1
CHEMBL1622128,4,4,1.0,4,0
CHEMBL1622765,1,1,1.0,1,0
CHEMBL1623028,4,4,1.0,4,0
CHEMBL1623897,4,4,1.0,4,0
CHEMBL1631394,0,1,0.0,1,1
CHEMBL1631395,1,1,1.0,1,0
CHEMBL1631396,0,1,0.0,1,1
CHEMBL1631397,0,1,0.0,1,1
CHEMBL1631398,1,1,1.0,1,0
CHEMBL1631399,1,1,1.0,1,0
CHEMBL1632625,1,1,1.0,1,0
CHEMBL1632626,1,1,1.0,1,0
CHEMBL1632627,0,1,0.0,1,1
CHEMBL164,2,11,0.18181818181818182,3,9
CHEMBL1642653,0,1,0.0,1,1
CHEMBL1650951,0,1,0.0,1,1
CHEMBL166765,1,2,0.5,1,1
CHEMBL166766,2,2,1.0,1,0
CHEMBL1681823,0,1,0.0,1,1
CHEMBL168214,2,2,1.0,1,0
CHEMBL1682552,1,1,1.0,1,0
CHEMBL168266,1,2,0.5,1,1
CHEMBL168285,2,2,1.0,1,0
CHEMBL168366,0,8,0.0,1,8
CHEMBL168382,2,2,1.0,1,0
CHEMBL168462,0,1,0.0,1,1
CHEMBL1685038,0,1,0.0,1,1
CHEMBL1685039,0,1,0.0,1,1
CHEMBL1685040,0,1,0.0,1,1
CHEMBL1685041,0,1,0.0,1,1
CHEMBL1685042,0,1,0.0,1,1
CHEMBL1685043,0,1,0.0,1,1
CHEMBL1685044,0,1,0.0,1,1
CHEMBL1685045,0,1,0.0,1,1
CHEMBL1685046,0,1,0.0,1,1
CHEMBL1685047,0,1,0.0,1,1
CHEMBL1685048,0,1,0.0,1,1
CHEMBL1685049,0,1,0.0,1,1
CHEMBL1685050,0,1,0.0,1,1
CHEMBL1685051,0,1,0.0,1,1
CHEMBL1685052,0,1,0.0,1,1
CHEMBL1685053,0,1,0.0,1,1
CHEMBL1685054,0,1,0.0,1,1
CHEMBL1685055,0,1,0.0,1,1
CHEMBL1685056,0,1,0.0,1,1
CHEMBL1685057,0,1,0.0,1,1
CHEMBL1685058,0,1,0.0,1,1
CHEMBL1685059,0,1,0.0,1,1
CHEMBL1685060,0,1,0.0,1,1
CHEMBL1685061,0,1,0.0,1,1
CHEMBL1685062,0,1,0.0,1,1
CHEMBL1685063,0,1,0.0,1,1
CHEMBL1685064,0,1,0.0,1,1
CHEMBL1685065,1,1,1.0,1,0
CHEMBL1685066,0,1,0.0,1,1
CHEMBL168533,0,8,0.0,1,8
CHEMBL168550,2,2,1.0,1,0
CHEMBL168555,1,1,1.0,1,0
CHEMBL168574,2,2,1.0,1,0
CHEMBL168656,0,1,0.0,1,1
CHEMBL168661,1,1,1.0,1,0
CHEMBL168703,2,2,1.0,1,0
CHEMBL168921,0,1,0.0,1,1
CHEMBL169043,0,1,0.0,1,1
CHEMBL169064,1,1,1.0,1,0
CHEMBL169065,0,1,0.0,1,1
CHEMBL169079,1,2,0.5,1,1
CHEMBL169165,2,2,1.0,1,0
CHEMBL169200,0,1,0.0,1,1
CHEMBL169250,2,2,1.0,1,0
CHEMBL169340,2,2,1.0,1,0
CHEMBL169385,2,2,1.0,1,0
CHEMBL169390,2,2,1.0,1,0
CHEMBL169457,2,2,1.0,1,0
CHEMBL169467,2,2,1.0,1,0
CHEMBL16947,0,1,0.0,1,1
CHEMBL169512,2,2,1.0,1,0
CHEMBL169519,0,1,0.0,1,1
CHEMBL169570,2,2,1.0,1,0
CHEMBL16958,9,11,0.8181818181818182,4,2
CHEMBL169700,2,2,1.0,1,0
CHEMBL169757,1,1,1.0,1,0
CHEMBL169780,1,1,1.0,1,0
CHEMBL1698030,0,2,0.0,1,2
CHEMBL1698123,0,1,0.0,1,1
CHEMBL1698309,0,1,0.0,1,1
CHEMBL1698461,0,1,0.0,1,1
CHEMBL1699039,0,1,0.0,1,1
CHEMBL169916,2,2,1.0,1,0
CHEMBL169917,2,2,1.0,1,0
CHEMBL169920,1,1,1.0,1,0
CHEMBL1699355,0,1,0.0,1,1
CHEMBL169939,0,1,0.0,1,1
CHEMBL1699568,0,1,0.0,1,1
CHEMBL1699712,0,1,0.0,1,1
CHEMBL1700355,0,1,0.0,1,1
CHEMBL1700363,0,1,0.0,1,1
CHEMBL1700815,0,1,0.0,1,1
CHEMBL1701016,0,1,0.0,1,1
CHEMBL1701021,0,1,0.0,1,1
CHEMBL1701237,0,1,0.0,1,1
CHEMBL1701846,0,1,0.0,1,1
CHEMBL1701911,0,1,0.0,1,1
CHEMBL1702206,0,1,0.0,1,1
CHEMBL1702372,1,1,1.0,1,0
CHEMBL170250,1,1,1.0,1,0
CHEMBL1702711,0,1,0.0,1,1
CHEMBL1702793,0,1,0.0,1,1
CHEMBL1702981,0,1,0.0,1,1
CHEMBL1703189,0,1,0.0,1,1
CHEMBL1703200,0,1,0.0,1,1
CHEMBL1703497,0,1,0.0,1,1
CHEMBL1703503,0,1,0.0,1,1
CHEMBL1703693,0,1,0.0,1,1
CHEMBL1703786,0,1,0.0,1,1
CHEMBL1703815,0,1,0.0,1,1
CHEMBL1703831,0,1,0.0,1,1
CHEMBL1703924,0,1,0.0,1,1
CHEMBL1703977,0,1,0.0,1,1
CHEMBL1704043,0,1,0.0,1,1
CHEMBL1704189,0,1,0.0,1,1
CHEMBL1704282,0,1,0.0,1,1
CHEMBL170438,0,1,0.0,1,1
CHEMBL1704485,0,1,0.0,1,1
CHEMBL1705000,0,1,0.0,1,1
CHEMBL170518,1,1,1.0,1,0
CHEMBL1705207,0,1,0.0,1,1
CHEMBL1705614,0,1,0.0,1,1
CHEMBL1706130,0,1,0.0,1,1
CHEMBL1706259,0,1,0.0,1,1
CHEMBL1706338,0,1,0.0,1,1
